"","A","Au","B","Bu","E.x","E.y","pA","peA","pB","peB","Pr","PrUn","index","structure","posterior","groupPost","pgroup","mA","mAu","mB","mBu","cfsA","cfaAu","cfsB","cfsBu","Sum","run"
"1",0,0,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,1,"disjunctive",0.25,1,1,0.132380783982381,0.0553373889301143,0.322994525836305,0.430434282747402,3064,14914,24083,15038,95948,1
"2",0,0,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,2,"disjunctive",0.25,1,1,0.0565090797358323,0.023323791915165,0.892008487410605,-0.21017448867293,3016,14923,23958,14806,79189,1
"3",0,1,0,0,0,0,0.9,0.5,0.2,0.5,0.045,0.25,3,"disjunctive",0.25,1,1,0.586075610193533,-0.0445635309726272,0.26026321489539,0.349463074440535,3004,15024,24069,14836,94019,1
"4",0,1,0,1,0,0,0.9,0.5,0.2,0.5,0.045,0.25,4,"disjunctive",0.25,1,1,0.279438141874259,-0.0252926890131402,0.851024422328617,-0.195201440811935,2973,14860,23867,14771,77660,1
"5",0,0,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,5,"disjunctive",0.5,2,1,0.0635113496107165,0.0275596269025108,-0.101526023731021,0.948166652233643,2942,15119,5906,15107,85462,1
"6",0,0,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,6,"disjunctive",0,3,1,-0.0566012177198051,-0.0245539615006116,0.101215215157477,-0.947521835745931,2923,15047,6055,14855,14306,1
"7",0,0,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,7,"disjunctive",0,2,1,0.0127570244796883,0.00927129112793678,-0.505992041760313,-0.832673040152729,3023,15199,6063,14856,19922,1
"8",0,0,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,8,"disjunctive",0.5,3,1,-0.0125051990569115,-0.00260780790926091,0.504820457895444,0.834625968297039,3000,14980,6070,15020,79918,1
"9",0,1,1,0,0,0,0.9,0.5,0.8,0.5,0.18,0.25,9,"disjunctive",0.5,2,1,0.338647829000758,-0.034091898131471,-0.0918479392464338,0.887112677147252,2947,15092,6006,15091,83673,1
"10",0,1,1,0,1,0,0.9,0.5,0.8,0.5,0.18,0.25,10,"disjunctive",0,3,1,-0.333870396224453,0.0277157496530215,0.0948031841706965,-0.886836941338006,3058,14942,6029,15225,16545,1
"11",0,1,1,1,0,1,0.9,0.5,0.8,0.5,0.18,0.25,11,"disjunctive",0,2,1,0.0764502643154154,-0.00265577407888327,-0.495537625239606,-0.823408184354009,2928,14936,6063,15070,19793,1
"12",0,1,1,1,1,1,0.9,0.5,0.8,0.5,0.18,0.25,12,"disjunctive",0.5,3,1,-0.0742729829762037,0.00389849790918609,0.491760205757369,0.826208716967939,3052,15007,5971,15120,80305,1
"13",1,0,0,0,0,0,0.1,0.5,0.2,0.5,0.005,0.25,13,"disjunctive",0.5,4,1,-0.186342967408596,0.720256281746525,0.167501706495933,0.223888200792497,27185,15040,24087,14973,85690,1
"14",1,0,0,0,1,0,0.1,0.5,0.2,0.5,0.005,0.25,14,"disjunctive",0,5,1,0.185983459325828,-0.716756082684024,-0.164790021515762,-0.218710893267391,27172,15082,23812,15142,14154,1
"15",1,0,0,1,0,0,0.1,0.5,0.2,0.5,0.005,0.25,15,"disjunctive",0.5,4,1,-0.117571301644154,0.456236644410325,0.709126342825757,-0.16857739454304,26826,14728,23867,15081,71147,1
"16",1,0,0,1,1,0,0.1,0.5,0.2,0.5,0.005,0.25,16,"disjunctive",0,5,1,0.113642261143232,-0.455585257943811,-0.716970662872398,0.167318239843389,27230,14831,23965,14968,28999,1
"17",1,1,0,0,0,1,0.1,0.5,0.2,0.5,0.005,0.25,17,"disjunctive",0,4,1,-0.756143611646606,-0.524626399383206,0.0526367684548853,0.0673957141711978,27035,15101,23843,15174,36759,1
"18",1,1,0,0,1,1,0.1,0.5,0.2,0.5,0.005,0.25,18,"disjunctive",0.5,5,1,0.752051842409871,0.52182862478245,-0.0538959065361478,-0.0651443967335683,27122,15095,23963,15036,63251,1
